Model,Dataset,MAE,RMSE
Seasonal Naive,Validation,4.761667176468448,6.073969729565965
SARIMA,Validation,1.6585306136611482,1.9982545965855938
LSTM,Validation,4.559010940269116,5.412338899691796
Seasonal Naive,Test,3.862559119158946,5.45416803188239
SARIMA,Test,2.387947026942874,3.207553337404195
LSTM,Test,11.012904155847073,12.018268363526044
